EntryTime,Type,TakeProfitDate,ExitDate,return,slug
2024-02-03 00:00:00,long,2024-02-23 12:00:00,2024-02-05 00:00:00,-0.0892412200594898,APT
2024-02-04 12:00:00,short,2024-04-06 00:00:00,2024-02-15 00:00:00,-0.0917784827071618,APT
2024-04-05 00:00:00,short,2024-05-20 12:00:00,2024-05-20 12:00:00,0.4095977808599169,APT
2024-05-27 00:00:00,long,2024-06-07 12:00:00,2024-06-07 12:00:00,-0.10771436227224,APT
2024-06-07 12:00:00,short,2024-07-15 12:00:00,2024-07-15 12:00:00,0.2431259044862517,APT
2024-07-16 00:00:00,short,2024-08-12 00:00:00,2024-08-02 12:00:00,0.0710900473933648,APT
2024-08-02 00:00:00,short,2024-09-07 00:00:00,2024-08-13 12:00:00,-0.0943798917726287,APT
2024-08-19 12:00:00,long,2024-09-03 12:00:00,2024-09-03 12:00:00,0.0252483443708608,APT
2024-09-14 00:00:00,short,2024-09-19 00:00:00,2024-09-19 00:00:00,-0.0326900354470264,APT
2024-09-19 12:00:00,long,2024-10-25 12:00:00,2024-10-25 12:00:00,0.2852422907488989,APT
2024-10-26 00:00:00,long,2024-10-28 00:00:00,2024-10-26 12:00:00,-0.0298002159827214,APT
2023-06-25 00:00:00,long,2023-09-29 00:00:00,2023-07-10 12:00:00,-0.0069147037830122,ARB
2023-07-13 12:00:00,long,2023-09-29 00:00:00,2023-08-16 12:00:00,-0.1469992645256191,ARB
2023-09-28 12:00:00,long,2023-10-24 12:00:00,2023-10-17 12:00:00,-0.1227509522742549,ARB
2023-10-09 00:00:00,short,2023-10-23 12:00:00,2023-10-23 00:00:00,-0.0640807006387838,ARB
2023-10-24 00:00:00,long,2023-11-18 00:00:00,2023-11-18 00:00:00,0.0811030447502436,ARB
2023-11-19 12:00:00,long,2023-12-06 00:00:00,2023-12-05 12:00:00,0.0169710297351561,ARB
2023-12-07 12:00:00,long,2023-12-19 12:00:00,2023-12-19 12:00:00,-0.081064937281338,ARB
2023-12-20 00:00:00,long,2024-01-19 12:00:00,2024-01-19 12:00:00,0.5602539854093487,ARB
2024-01-25 00:00:00,short,2024-02-06 12:00:00,2024-02-06 12:00:00,-0.0859351769253642,ARB
2024-02-09 12:00:00,long,2024-02-29 12:00:00,2024-02-25 00:00:00,-0.0427897233999596,ARB
2024-02-22 12:00:00,short,2024-02-26 12:00:00,2024-02-25 00:00:00,-0.004788902955909,ARB
2024-02-26 00:00:00,short,2024-05-17 12:00:00,2024-02-29 00:00:00,-0.0896316986274635,ARB
2024-02-29 00:00:00,long,2024-03-14 12:00:00,2024-03-05 12:00:00,-0.1009826906769092,ARB
2024-03-15 00:00:00,short,2024-05-17 12:00:00,2024-05-17 12:00:00,0.7604618959325933,ARB
2024-05-21 00:00:00,long,2024-05-22 12:00:00,2024-05-22 12:00:00,-0.0745305649764248,ARB
2024-06-04 12:00:00,long,2024-07-22 12:00:00,2024-06-07 12:00:00,-0.0547404297580351,ARB
2024-06-06 12:00:00,short,2024-07-17 00:00:00,2024-07-17 00:00:00,0.4078002716512516,ARB
2024-07-17 12:00:00,short,2024-08-21 12:00:00,2024-08-21 12:00:00,0.351361128696753,ARB
2024-08-27 12:00:00,short,2024-09-10 12:00:00,2024-09-10 12:00:00,-0.0137989298789075,ARB
2024-09-11 00:00:00,short,2024-09-14 12:00:00,2024-09-14 12:00:00,-0.045233644859813,ARB
2024-09-14 00:00:00,short,2024-10-03 12:00:00,2024-09-19 12:00:00,-0.0769456307189142,ARB
2024-09-19 12:00:00,long,2024-10-05 00:00:00,2024-10-05 00:00:00,0.0069519196268388,ARB
2024-10-04 00:00:00,long,2024-10-21 12:00:00,2024-10-09 12:00:00,-0.0624678849285326,ARB
2024-10-20 12:00:00,long,2024-10-21 12:00:00,2024-10-21 12:00:00,-0.0388317833251754,ARB
2024-10-23 00:00:00,short,2024-10-24 12:00:00,2024-10-23 12:00:00,-0.0015923566878981,ARB
2021-03-22 00:00:00,long,2021-03-30 00:00:00,2021-03-24 00:00:00,-0.1143336533845413,ATOM
2021-03-22 12:00:00,short,2021-04-01 00:00:00,2021-04-01 00:00:00,-0.0319259016227948,ATOM
2021-03-31 00:00:00,short,2021-04-07 12:00:00,2021-04-03 00:00:00,-0.0986251850671109,ATOM
2021-04-04 12:00:00,long,2021-04-07 00:00:00,2021-04-07 00:00:00,-0.0857890824622531,ATOM
2021-04-07 00:00:00,short,2021-04-20 12:00:00,2021-04-09 00:00:00,-0.0751732213543413,ATOM
